Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1464987600.0 1.0 51 69 125 NA NA NA NA NA 97 144 179 NA NA NA NA NA 2357 327 1115 NA NA NA NA NA 2895 363 1560 NA NA NA NA NA
1464987600.0 10.0 NA 80 190 0 NA NA NA NA NA 151 250 0 NA NA NA NA NA 3127 2894 526 NA NA NA NA NA 3256 2962 532 NA NA NA NA
1464987600.0 1000.0 NA 204 111 0 44 NA NA NA NA 275 165 0 76 NA NA NA NA 3415 355 432 91 NA NA NA NA 3447 416 440 123 NA NA NA
1464987600.0 1001.0 NA 180 173 0 0 0 0 0 NA 237 213 0 0 0 0 0 NA 1814 430 6 62 545 36 714 NA 1884 454 17 64 550 51 735
1464987600.0 1002.0 NA 204 57 NA NA NA NA NA NA 272 97 NA NA NA NA NA NA 2552 160 NA NA NA NA NA NA 2766 286 NA NA NA NA NA
1464987600.0 10021.0 NA 105 222 0 NA NA NA NA NA 196 310 0 NA NA NA NA NA 615 1502 619 NA NA NA NA NA 771 1699 689 NA NA NA NA
1464987600.0 10023.0 NA 98 209 0 NA NA NA NA NA 198 310 0 NA NA NA NA NA 570 1104 624 NA NA NA NA NA 860 1509 667 NA NA NA NA
1464987600.0 10024.0 NA 103 223 0 NA NA NA NA NA 197 310 0 NA NA NA NA NA 649 1482 650 NA NA NA NA NA 809 1589 676 NA NA NA NA
1464987600.0 10024.1 NA 102 142 0 NA NA NA NA NA 197 219 0 NA NA NA NA NA 601 637 308 NA NA NA NA NA 745 1056 335 NA NA NA NA
1464987600.0 10024.2 NA 103 230 0 NA NA NA NA NA 196 310 0 NA NA NA NA NA 674 1476 637 NA NA NA NA NA 1105 1696 693 NA NA NA NA
1464987600.0 10024.3 NA 102 139 0 NA NA NA NA NA 197 214 0 NA NA NA NA NA 594 645 277 NA NA NA NA NA 1260 905 299 NA NA NA NA
1464987600.0 10024.4 NA 104 229 0 NA NA NA NA NA 197 309 0 NA NA NA NA NA 634 1641 658 NA NA NA NA NA 724 1820 706 NA NA NA NA
1464987600.0 10024.5 NA 102 135 0 NA NA NA NA NA 197 214 0 NA NA NA NA NA 604 618 276 NA NA NA NA NA 1393 910 299 NA NA NA NA
1464987600.0 10025.0 NA 99 217 0 NA NA NA NA NA 198 310 0 NA NA NA NA NA 622 1393 544 NA NA NA NA NA 700 1539 583 NA NA NA NA
1464987600.0 10026.0 NA 102 225 0 NA NA NA NA NA 197 310 0 NA NA NA NA NA 671 1923 564 NA NA NA NA NA 761 2071 583 NA NA NA NA
1464987600.0 1003.0 NA 172 0 NA NA NA NA NA NA 245 0 NA NA NA NA NA NA 3219 339 NA NA NA NA NA NA 3337 379 NA NA NA NA NA
1464987600.0 1004.0 NA 172 130 0 0 0 0 NA NA 236 178 0 0 0 0 NA NA 470 208 6 56 355 320 NA NA 635 324 11 95 535 443 NA
1464987600.0 101.0 82 NA NA NA NA NA NA NA 140 NA NA NA NA NA NA NA 1305 NA NA NA NA NA NA NA 1353 NA NA NA NA NA NA NA
1464987600.0 102.0 83 NA NA NA NA NA NA NA 140 NA NA NA NA NA NA NA 900 NA NA NA NA NA NA NA 1009 NA NA NA NA NA NA NA
1464987600.0 10224.0 NA 137 304 0 NA NA NA NA NA 206 389 0 NA NA NA NA NA 2814 4720 598 NA NA NA NA NA 10293 12379 928 NA NA NA NA
1464987600.0 10225.0 NA 134 290 0 NA NA NA NA NA 203 379 0 NA NA NA NA NA 2629 3768 530 NA NA NA NA NA 10015 13159 674 NA NA NA NA
1464987600.0 103.0 37 0 0 NA NA NA NA NA 75 0 0 NA NA NA NA NA 420 86 165 NA NA NA NA NA 479 98 187 NA NA NA NA NA
1464987600.0 105.0 51 77 21 NA NA NA NA NA 95 145 52 NA NA NA NA NA 2860 350 3 NA NA NA NA NA 3117 415 8 NA NA NA NA NA
1464987600.0 106.0 36 0 0 NA NA NA NA NA 75 0 0 NA NA NA NA NA 418 89 165 NA NA NA NA NA 432 95 192 NA NA NA NA NA
1464987600.0 107.0 52 76 184 NA NA NA NA NA 98 147 248 NA NA NA NA NA 8165 551 545 NA NA NA NA NA 8277 568 561 NA NA NA NA NA
1464987600.0 108.0 55 82 185 NA NA NA NA NA 100 147 248 NA NA NA NA NA 11910 581 846 NA NA NA NA NA 12178 623 884 NA NA NA NA NA
1464987600.0 10821.0 95 NA NA NA NA NA NA NA 137 NA NA NA NA NA NA NA 3035 NA NA NA NA NA NA NA 3136 NA NA NA NA NA NA NA
1464987600.0 10824.0 106 NA NA NA NA NA NA NA 151 NA NA NA NA NA NA NA 14542 NA NA NA NA NA NA NA 15731 NA NA NA NA NA NA NA
1464987600.0 10825.0 106 NA NA NA NA NA NA NA 149 NA NA NA NA NA NA NA 10934 NA NA NA NA NA NA NA 11364 NA NA NA NA NA NA NA
1464987600.0 10826.0 111 NA NA NA NA NA NA NA 155 NA NA NA NA NA NA NA 17042 NA NA NA NA NA NA NA 18043 NA NA NA NA NA NA NA
1464987600.0 109.0 54 77 188 NA NA NA NA NA 101 147 248 NA NA NA NA NA 10721 553 865 NA NA NA NA NA 10891 572 909 NA NA NA NA NA
1464987600.0 11.0 NA 77 198 0 57 NA NA NA NA 150 258 0 88 NA NA NA NA 2521 1009 527 27 NA NA NA NA 2633 1031 535 33 NA NA NA
1464987600.0 110.0 45 80 183 NA NA NA NA NA 88 145 247 NA NA NA NA NA 678 363 423 NA NA NA NA NA 731 397 463 NA NA NA NA NA
1464987600.0 1102.0 NA 80 195 109 64 NA NA NA NA 150 256 170 110 NA NA NA NA 3138 4112 4696 282 NA NA NA NA 3229 4212 4816 292 NA NA NA
1464987600.0 11021.0 93 208 NA NA NA NA NA NA 137 253 NA NA NA NA NA NA 3243 2511 NA NA NA NA NA NA 3351 3089 NA NA NA NA NA NA
1464987600.0 11024.0 107 221 NA NA NA NA NA NA 152 257 NA NA NA NA NA NA 10557 1915 NA NA NA NA NA NA 11403 1972 NA NA NA NA NA NA
1464987600.0 11025.0 105 211 NA NA NA NA NA NA 149 258 NA NA NA NA NA NA 11655 2601 NA NA NA NA NA NA 12647 3167 NA NA NA NA NA NA
1464987600.0 11026.0 109 209 NA NA NA NA NA NA 155 258 NA NA NA NA NA NA 20975 2504 NA NA NA NA NA NA 21804 2610 NA NA NA NA NA NA
1464987600.0 111.0 51 76 183 NA NA NA NA NA 97 146 248 NA NA NA NA NA 2909 276 389 NA NA NA NA NA 3710 427 607 NA NA NA NA NA
1464987600.0 112.0 52 78 186 NA NA NA NA NA 98 147 248 NA NA NA NA NA 8945 547 442 NA NA NA NA NA 9075 568 458 NA NA NA NA NA
1464987600.0 113.0 54 78 189 NA NA NA NA NA 100 147 248 NA NA NA NA NA 10256 695 739 NA NA NA NA NA 10395 802 813 NA NA NA NA NA
1464987600.0 114.0 54 76 182 NA NA NA NA NA 100 147 248 NA NA NA NA NA 8630 553 751 NA NA NA NA NA 8732 626 830 NA NA NA NA NA
1464987600.0 115.0 54 78 186 NA NA NA NA NA 100 147 248 NA NA NA NA NA 9933 565 803 NA NA NA NA NA 10072 596 868 NA NA NA NA NA
1464987600.0 116.0 54 78 187 NA NA NA NA NA 100 147 248 NA NA NA NA NA 7132 371 544 NA NA NA NA NA 7378 420 688 NA NA NA NA NA
1464987600.0 117.0 55 78 186 NA NA NA NA NA 100 147 248 NA NA NA NA NA 12542 580 856 NA NA NA NA NA 12714 618 922 NA NA NA NA NA
1464987600.0 118.0 56 79 184 NA NA NA NA NA 101 147 248 NA NA NA NA NA 7961 394 608 NA NA NA NA NA 8443 514 4852 NA NA NA NA NA
