Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1466110800.0 1.0 48 73 136 NA NA NA NA NA 93 147 180 NA NA NA NA NA 3124 592 1008 NA NA NA NA NA 3362 614 1188 NA NA NA NA NA
1466110800.0 10.0 NA 83 209 0 NA NA NA NA NA 152 260 0 NA NA NA NA NA 4248 3931 1001 NA NA NA NA NA 4355 7900 1039 NA NA NA NA
1466110800.0 1000.0 NA 206 122 0 42 NA NA NA NA 285 182 0 78 NA NA NA NA 4790 456 473 104 NA NA NA NA 5020 519 479 142 NA NA NA
1466110800.0 1001.0 NA 181 175 0 0 0 0 0 NA 245 218 0 0 0 0 0 NA 2701 588 21 93 672 50 806 NA 2933 752 31 106 696 62 836
1466110800.0 1002.0 NA 208 60 NA NA NA NA NA NA 278 101 NA NA NA NA NA NA 3430 232 NA NA NA NA NA NA 3620 253 NA NA NA NA NA
1466110800.0 10021.0 NA 99 232 0 NA NA NA NA NA 176 324 0 NA NA NA NA NA 468 1424 451 NA NA NA NA NA 978 1901 472 NA NA NA NA
1466110800.0 10023.0 NA 99 230 0 NA NA NA NA NA 176 324 0 NA NA NA NA NA 603 1218 560 NA NA NA NA NA 1129 1362 576 NA NA NA NA
1466110800.0 10024.0 NA 112 241 0 NA NA NA NA NA 177 324 0 NA NA NA NA NA 673 1633 610 NA NA NA NA NA 825 1893 633 NA NA NA NA
1466110800.0 10024.1 NA 105 145 0 NA NA NA NA NA 177 222 0 NA NA NA NA NA 681 718 503 NA NA NA NA NA 1238 838 523 NA NA NA NA
1466110800.0 10024.2 NA 114 250 0 NA NA NA NA NA 177 323 0 NA NA NA NA NA 461 1306 446 NA NA NA NA NA 589 1369 462 NA NA NA NA
1466110800.0 10024.3 NA 104 142 0 NA NA NA NA NA 177 217 0 NA NA NA NA NA 690 666 431 NA NA NA NA NA 790 770 441 NA NA NA NA
1466110800.0 10024.4 NA 112 235 0 NA NA NA NA NA 177 323 0 NA NA NA NA NA 482 1394 466 NA NA NA NA NA 590 1897 489 NA NA NA NA
1466110800.0 10024.5 NA 103 139 0 NA NA NA NA NA 177 217 0 NA NA NA NA NA 696 635 415 NA NA NA NA NA 1304 789 428 NA NA NA NA
1466110800.0 10025.0 NA 100 234 0 NA NA NA NA NA 176 324 0 NA NA NA NA NA 638 1387 600 NA NA NA NA NA 809 1895 617 NA NA NA NA
1466110800.0 10026.0 NA 106 238 0 NA NA NA NA NA 177 324 0 NA NA NA NA NA 504 1584 487 NA NA NA NA NA 937 1848 521 NA NA NA NA
