Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1465635600.0 1303.0 69 175 200 NA NA 115 211 254 NA NA 19259 854 1598 NA NA 19898 1079 1852 NA NA
1465635600.0 1309.0 NA 183 275 0 NA NA 236 330 0 NA NA 1079 1763 2647 NA NA 1350 2135 2854 NA
1465635600.0 131.0 53 86 222 NA NA 96 154 265 NA NA 3308 623 694 NA NA 3333 683 978 NA NA
1465635600.0 1312.0 NA 182 275 0 NA NA 232 330 0 NA NA 979 1645 2645 NA NA 1164 1847 2794 NA
1465635600.0 1313.0 NA 183 273 0 NA NA 233 330 0 NA NA 792 2262 2548 NA NA 966 2560 2703 NA
1465635600.0 132.0 55 95 220 NA NA 101 154 266 NA NA 5344 666 847 NA NA 5385 825 1070 NA NA
1465635600.0 1324.0 NA 181 275 0 NA NA 233 330 0 NA NA 1081 1758 2562 NA NA 1261 2211 2697 NA
1465635600.0 1325.0 NA 185 275 0 91 NA 234 330 0 113 NA 1084 1909 2665 176 NA 1276 2209 2803 231
1465635600.0 1325.2 NA 181 272 0 NA NA 234 330 0 NA NA 1084 1816 2642 NA NA 1244 2017 2687 NA
1465635600.0 133.0 62 90 225 NA NA 107 154 271 NA NA 13064 743 1365 NA NA 13140 915 1518 NA NA
1465635600.0 1336.0 NA 183 276 0 NA NA 236 331 0 NA NA 1208 3580 2673 NA NA 1385 3958 2822 NA
1465635600.0 1337.0 NA 195 278 0 NA NA 240 334 0 NA NA 1398 2511 2696 NA NA 1588 2773 2841 NA
1465635600.0 1338.0 NA 181 276 0 NA NA 239 330 0 NA NA 1117 1760 2675 NA NA 1264 2057 2714 NA
1465635600.0 1339.0 NA 195 281 0 NA NA 238 331 0 NA NA 1277 2803 2688 NA NA 1562 3032 2740 NA
1465635600.0 134.701 NA 54 263 0 NA NA 94 312 0 NA NA 221 8485 918 NA NA 276 8854 959 NA
1465635600.0 134.702 NA 56 256 0 NA NA 93 306 0 NA NA 249 11800 907 NA NA 331 12168 946 NA
1465635600.0 134.703 NA 57 258 0 NA NA 91 318 0 NA NA 254 11870 953 NA NA 363 12309 1096 NA
1465635600.0 134.704 NA 55 252 0 NA NA 89 307 0 NA NA 238 11386 931 NA NA 278 11805 1078 NA
1465635600.0 134.705 NA 51 259 0 NA NA 94 316 0 NA NA 251 12320 911 NA NA 364 12649 1040 NA
1465635600.0 134.706 NA 54 260 0 NA NA 94 317 0 NA NA 257 12561 939 NA NA 344 12911 1073 NA
1465635600.0 134.707 NA 56 253 0 NA NA 94 306 0 NA NA 259 11153 918 NA NA 349 11485 983 NA
1465635600.0 134.708 NA 49 249 0 NA NA 92 305 0 NA NA 252 10591 946 NA NA 339 11042 1108 NA
1465635600.0 134.709 NA 58 256 0 NA NA 95 317 0 NA NA 247 11663 906 NA NA 341 12107 949 NA
1465635600.0 134.71 NA 52 247 0 NA NA 85 301 0 NA NA 225 7141 914 NA NA 313 7592 958 NA
1465635600.0 134.801 NA 55 250 0 NA NA 92 303 0 NA NA 238 7809 873 NA NA 344 8214 1026 NA
1465635600.0 134.802 NA 39 252 0 NA NA 93 312 0 NA NA 312 15239 874 NA NA 401 15675 1005 NA
1465635600.0 134.803 NA 50 262 0 NA NA 93 308 0 NA NA 300 13245 905 NA NA 339 13593 1037 NA
1465635600.0 134.804 NA 56 263 0 NA NA 94 315 0 NA NA 298 15049 864 NA NA 329 15423 896 NA
1465635600.0 134.805 NA 57 274 0 NA NA 96 324 0 NA NA 293 14529 903 NA NA 316 14847 938 NA
1465635600.0 134.806 NA 41 262 0 NA NA 92 315 0 NA NA 336 16746 903 NA NA 462 17042 959 NA
1465635600.0 134.807 NA 114 273 0 NA NA 148 332 0 NA NA 1005 14709 980 NA NA 1154 15120 1118 NA
1465635600.0 134.808 NA 115 272 0 NA NA 147 333 0 NA NA 1017 15415 961 NA NA 1062 15846 1100 NA
1465635600.0 134.809 NA 50 259 0 NA NA 92 306 0 NA NA 300 13658 907 NA NA 392 13895 1040 NA
1465635600.0 134.81 NA 55 256 0 NA NA 93 306 0 NA NA 302 13901 919 NA NA 392 14336 961 NA
1465635600.0 134.811 NA 56 264 0 NA NA 97 314 0 NA NA 310 14757 870 NA NA 326 15065 1027 NA
1465635600.0 134.812 NA 53 248 0 NA NA 90 303 0 NA NA 239 7718 899 NA NA 429 8184 957 NA
1465635600.0 134.901 NA 51 253 0 NA NA 92 303 0 NA NA 239 7858 860 NA NA 271 8207 899 NA
1465635600.0 134.902 NA 52 250 0 NA NA 94 302 0 NA NA 275 10744 879 NA NA 395 11170 1013 NA
1465635600.0 134.903 NA 52 250 0 NA NA 96 303 0 NA NA 271 9665 920 NA NA 354 10026 1045 NA
1465635600.0 134.904 NA 40 255 0 NA NA 92 308 0 NA NA 277 11840 896 NA NA 368 12251 926 NA
1465635600.0 134.905 NA 57 249 0 NA NA 93 305 0 NA NA 275 9390 912 NA NA 313 9701 946 NA
1465635600.0 134.906 NA 39 252 0 NA NA 92 303 0 NA NA 286 11478 919 NA NA 373 11872 1059 NA
1465635600.0 134.907 NA 114 272 0 NA NA 149 324 0 NA NA 811 10190 899 NA NA 914 10611 933 NA
