Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1464944400.0 1.0 58 97 158 NA NA 106 151 194 NA NA 3296 597 487 NA NA 3306 690 598 NA NA
1464944400.0 10024.1 NA 123 161 0 NA NA 190 220 0 NA NA 1077 1081 723 NA NA 1292 1191 897 NA
1464944400.0 10024.2 NA 122 NA NA NA NA 190 NA NA NA NA 1065 NA NA NA NA 1283 NA NA NA
1464944400.0 10024.3 NA 126 160 0 NA NA 190 216 0 NA NA 1078 1080 662 NA NA 1347 1341 805 NA
1464944400.0 10024.4 NA 122 NA NA NA NA 190 NA NA NA NA 1072 NA NA NA NA 1277 NA NA NA
1464944400.0 10024.5 NA 125 155 0 NA NA 190 216 0 NA NA 1068 1028 651 NA NA 1387 1126 826 NA
1464944400.0 101.0 91 NA NA NA NA 144 NA NA NA NA 2303 NA NA NA NA 2416 NA NA NA NA
1464944400.0 102.0 94 NA NA NA NA 145 NA NA NA NA 1721 NA NA NA NA 1783 NA NA NA NA
1464944400.0 10224.0 NA 157 NA NA NA NA 206 NA NA NA NA 4484 NA NA NA NA 12183 NA NA NA
1464944400.0 10225.0 NA 143 NA NA NA NA 206 NA NA NA NA 4280 NA NA NA NA 12658 NA NA NA
1464944400.0 103.0 44 0 0 NA NA 78 0 0 NA NA 777 136 276 NA NA 886 820 394 NA NA
1464944400.0 105.0 58 88 35 NA NA 104 154 55 NA NA 3288 630 3 NA NA 3391 975 15 NA NA
1464944400.0 106.0 44 0 0 NA NA 79 0 0 NA NA 771 135 266 NA NA 969 252 396 NA NA
1464944400.0 107.0 60 100 232 NA NA 107 155 264 NA NA 5780 641 789 NA NA 5789 791 911 NA NA
1464944400.0 108.0 62 92 223 NA NA 109 154 266 NA NA 10326 706 1080 NA NA 10480 867 1211 NA NA
1464944400.0 10821.0 100 NA NA NA NA 136 NA NA NA NA 6208 NA NA NA NA 6351 NA NA NA NA
1464944400.0 10824.0 110 NA NA NA NA 160 NA NA NA NA 25479 NA NA NA NA 25639 NA NA NA NA
1464944400.0 10825.0 109 NA NA NA NA 157 NA NA NA NA 17863 NA NA NA NA 17966 NA NA NA NA
1464944400.0 10826.0 116 NA NA NA NA 166 NA NA NA NA 42633 NA NA NA NA 42807 NA NA NA NA
1464944400.0 109.0 60 91 227 NA NA 108 155 267 NA NA 9150 700 1053 NA NA 9188 801 1182 NA NA
1464944400.0 110.0 64 89 222 NA NA 87 154 264 NA NA 1203 598 649 NA NA 1211 748 923 NA NA
