Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1465077600.0 125.0 51 75 161 NA NA NA NA 97 143 222 NA NA NA NA 6608 700 898 NA NA NA NA 6725 734 933 NA NA NA NA
1465077600.0 126.0 42 71 159 NA NA NA NA 87 143 222 NA NA NA NA 1355 434 577 NA NA NA NA 1378 459 621 NA NA NA NA
1465077600.0 127.0 43 72 160 NA NA NA NA 86 143 222 NA NA NA NA 1667 458 570 NA NA NA NA 1696 484 657 NA NA NA NA
1465077600.0 128.0 41 72 159 NA NA NA NA 81 143 222 NA NA NA NA 861 604 735 NA NA NA NA 907 624 762 NA NA NA NA
1465077600.0 129.0 43 70 157 NA NA NA NA 85 143 222 NA NA NA NA 871 597 722 NA NA NA NA 891 619 758 NA NA NA NA
1465077600.0 13.0 NA 65 161 0 NA NA NA NA 140 222 0 NA NA NA NA 332 1193 598 NA NA NA NA 356 1239 617 NA NA NA
1465077600.0 130.0 42 71 161 NA NA NA NA 81 143 222 NA NA NA NA 740 403 363 NA NA NA NA 758 416 396 NA NA NA NA
1465077600.0 1301.0 56 108 146 NA NA NA NA 101 169 198 NA NA NA NA 1823 524 413 NA NA NA NA 1886 560 745 NA NA NA NA
1465077600.0 1302.0 61 118 150 NA NA NA NA 107 169 202 NA NA NA NA 5417 573 699 NA NA NA NA 5641 638 761 NA NA NA NA
1465077600.0 1303.0 63 119 155 NA NA NA NA 108 169 204 NA NA NA NA 9167 644 1129 NA NA NA NA 9290 723 1332 NA NA NA NA
1465077600.0 1306.0 NA 123 200 0 NA NA NA NA 179 261 0 NA NA NA NA 805 997 1348 NA NA NA NA 837 1036 1357 NA NA NA
1465077600.0 1307.0 NA 112 118 37 0 NA NA NA 176 188 70 0 NA NA NA 912 924 79 1007 NA NA NA 1020 1015 92 1070 NA NA
1465077600.0 1308.0 NA 109 117 36 0 NA NA NA 176 175 70 0 NA NA NA 857 821 65 745 NA NA NA 907 876 73 753 NA NA
1465077600.0 1309.0 NA 126 206 0 NA NA NA NA 187 269 0 NA NA NA NA 1124 1749 2241 NA NA NA NA 1228 1892 2273 NA NA NA
1465077600.0 131.0 43 72 161 NA NA NA NA 88 143 222 NA NA NA NA 1603 448 601 NA NA NA NA 1629 476 646 NA NA NA NA
1465077600.0 1310.0 NA 121 203 0 NA NA NA NA 184 265 0 NA NA NA NA 742 1101 1727 NA NA NA NA 827 1193 1787 NA NA NA
1465077600.0 1311.0 NA 123 192 0 55 NA NA NA 182 252 0 84 NA NA NA 810 960 1622 88 NA NA NA 839 1006 1630 124 NA NA
1465077600.0 1312.0 NA 126 206 0 NA NA NA NA 187 264 0 NA NA NA NA 1101 1697 2346 NA NA NA NA 1176 1793 2397 NA NA NA
1465077600.0 1314.0 NA 134 208 0 NA NA NA NA 191 269 0 NA NA NA NA 1554 2112 2352 NA NA NA NA 1746 2243 2435 NA NA NA
1465077600.0 1315.0 NA 123 200 0 NA NA NA NA 179 261 0 NA NA NA NA 662 913 1606 NA NA NA NA 724 999 1639 NA NA NA
1465077600.0 1316.0 NA 123 202 0 NA NA NA NA 182 261 0 NA NA NA NA 878 1046 1398 NA NA NA NA 920 1084 1406 NA NA NA
1465077600.0 1317.0 NA 122 198 0 NA NA NA NA 180 261 0 NA NA NA NA 686 958 1661 NA NA NA NA 736 1219 1701 NA NA NA
1465077600.0 1318.0 NA 123 199 0 NA NA NA NA 179 261 0 NA NA NA NA 645 911 1568 NA NA NA NA 758 1006 1600 NA NA NA
1465077600.0 1319.0 NA 123 200 0 NA NA NA NA 180 261 0 NA NA NA NA 886 1274 1959 NA NA NA NA 953 1386 1980 NA NA NA
1465077600.0 132.0 48 74 162 NA NA NA NA 93 143 216 NA NA NA NA 2982 428 437 NA NA NA NA 3028 444 456 NA NA NA NA
