Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1465682400.0 1.0 50 71 111 NA NA NA NA 94 143 166 NA NA NA NA 2350 417 438 NA NA NA NA 2413 466 462 NA NA NA NA
1465682400.0 10.0 NA 70 164 0 NA NA NA NA 140 223 0 NA NA NA NA 2385 2783 711 NA NA NA NA 2432 2872 728 NA NA NA
1465682400.0 1000.0 NA 167 100 0 28 NA NA NA 230 153 0 67 NA NA NA 3506 858 1086 139 NA NA NA 3622 1040 1153 168 NA NA
1465682400.0 1001.0 NA 157 102 0 0 0 0 NA 215 141 0 0 0 0 NA 2491 281 91 86 199 59 NA 2541 316 99 97 211 69
1465682400.0 1002.0 NA 180 54 NA NA NA NA NA 244 93 NA NA NA NA NA 2900 212 NA NA NA NA NA 2980 225 NA NA NA NA
1465682400.0 1003.0 NA 152 0 NA NA NA NA NA 216 0 NA NA NA NA NA 5194 1106 NA NA NA NA NA 5392 1143 NA NA NA NA
1465682400.0 1004.0 NA 160 86 0 0 0 NA NA 223 123 0 0 0 NA NA 666 133 68 66 176 NA NA 736 150 77 75 187 NA
1465682400.0 101.0 78 NA NA NA NA NA NA 134 NA NA NA NA NA NA 1295 NA NA NA NA NA NA 1332 NA NA NA NA NA NA
1465682400.0 102.0 77 NA NA NA NA NA NA 135 NA NA NA NA NA NA 938 NA NA NA NA NA NA 974 NA NA NA NA NA NA
1465682400.0 103.0 45 74 163 NA NA NA NA 88 143 222 NA NA NA NA 964 280 538 NA NA NA NA 985 299 566 NA NA NA NA
1465682400.0 105.0 51 73 23 NA NA NA NA 94 143 52 NA NA NA NA 2463 433 4 NA NA NA NA 2498 445 7 NA NA NA NA
1465682400.0 106.0 35 0 0 NA NA NA NA 74 0 0 NA NA NA NA 457 93 231 NA NA NA NA 481 120 251 NA NA NA NA
1465682400.0 107.0 52 84 162 NA NA NA NA 95 143 217 NA NA NA NA 4858 482 687 NA NA NA NA 5041 518 725 NA NA NA NA
1465682400.0 108.0 53 78 166 NA NA NA NA 98 143 222 NA NA NA NA 6424 519 799 NA NA NA NA 6787 541 831 NA NA NA NA
1465682400.0 109.0 55 87 173 NA NA NA NA 99 143 222 NA NA NA NA 7022 503 825 NA NA NA NA 7463 528 881 NA NA NA NA
1465682400.0 11.0 NA 71 172 0 44 NA NA NA 139 232 0 75 NA NA NA 1931 1206 832 45 NA NA NA 1972 1273 855 58 NA NA
1465682400.0 110.0 42 73 160 NA NA NA NA 81 143 222 NA NA NA NA 731 441 546 NA NA NA NA 770 470 603 NA NA NA NA
1465682400.0 1102.0 NA 67 162 98 55 NA NA NA 140 222 149 100 NA NA NA 2457 3622 2077 186 NA NA NA 2628 3714 2171 194 NA NA
1465682400.0 111.0 49 75 160 NA NA NA NA 94 143 222 NA NA NA NA 3496 551 792 NA NA NA NA 3599 586 835 NA NA NA NA
1465682400.0 112.0 52 78 165 NA NA NA NA 96 143 222 NA NA NA NA 3604 459 547 NA NA NA NA 3619 470 566 NA NA NA NA
1465682400.0 113.0 52 77 164 NA NA NA NA 96 143 222 NA NA NA NA 5332 674 931 NA NA NA NA 5432 707 998 NA NA NA NA
1465682400.0 114.0 51 75 160 NA NA NA NA 95 143 222 NA NA NA NA 5172 771 950 NA NA NA NA 5265 904 1035 NA NA NA NA
1465682400.0 115.0 52 75 161 NA NA NA NA 97 143 222 NA NA NA NA 6459 808 949 NA NA NA NA 6724 905 1004 NA NA NA NA
