Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1465682400.0 1.0 51 141 120 NA NA 88 183 168 NA NA 1669 451 422 NA NA 1825 529 475 NA NA
1465682400.0 10.0 NA 155 170 0 NA NA 218 225 0 NA NA 2422 3387 677 NA NA 3222 3612 712 NA
1465682400.0 1000.0 NA 176 90 0 36 NA 241 136 0 65 NA 2564 407 428 114 NA 2802 734 462 158
1465682400.0 1001.0 NA 167 41 0 NA NA 218 63 0 NA NA 2226 46 48 NA NA 2318 102 95 NA
1465682400.0 1002.0 NA 167 50 NA NA NA 223 83 NA NA NA 2568 181 NA NA NA 2836 216 NA NA
1465682400.0 1003.0 NA 169 0 NA NA NA 233 0 NA NA NA 3961 448 NA NA NA 4476 480 NA NA
1465682400.0 101.0 86 NA NA NA NA 123 NA NA NA NA 1287 NA NA NA NA 1342 NA NA NA NA
1465682400.0 102.0 86 NA NA NA NA 124 NA NA NA NA 1007 NA NA NA NA 1040 NA NA NA NA
1465682400.0 103.0 49 151 169 NA NA 86 202 220 NA NA 807 447 500 NA NA 920 559 595 NA NA
1465682400.0 105.0 50 149 37 NA NA 88 201 64 NA NA 1645 563 31 NA NA 1705 677 55 NA NA
1465682400.0 106.0 45 0 0 NA NA 78 0 0 NA NA 521 413 326 NA NA 556 515 386 NA NA
1465682400.0 107.0 52 157 173 NA NA 89 203 222 NA NA 3204 549 626 NA NA 3385 615 674 NA NA
1465682400.0 108.0 52 150 170 NA NA 88 204 222 NA NA 3373 690 753 NA NA 3605 822 825 NA NA
1465682400.0 109.0 51 163 175 NA NA 87 203 222 NA NA 2618 579 672 NA NA 2771 775 916 NA NA
1465682400.0 11.0 NA 152 176 0 48 NA 211 229 0 75 NA 1548 2019 1121 54 NA 2130 2198 1169 80
1465682400.0 110.0 47 149 167 NA NA 82 200 218 NA NA 770 536 591 NA NA 812 620 698 NA NA
1465682400.0 1102.0 NA 157 180 113 60 NA 217 227 153 97 NA 2866 4329 2707 182 NA 3742 4411 2756 217
1465682400.0 111.0 50 153 172 NA NA 88 203 221 NA NA 2200 466 529 NA NA 2260 554 592 NA NA
1465682400.0 112.0 52 150 170 NA NA 89 204 222 NA NA 2951 619 761 NA NA 3189 764 866 NA NA
1465682400.0 113.0 54 160 177 NA NA 90 204 222 NA NA 3117 540 641 NA NA 3567 623 708 NA NA
1465682400.0 114.0 53 152 175 NA NA 89 204 221 NA NA 2987 520 632 NA NA 3081 633 922 NA NA
1465682400.0 115.0 53 150 172 NA NA 91 204 222 NA NA 5488 762 915 NA NA 5578 840 957 NA NA
1465682400.0 116.0 53 150 170 NA NA 90 205 222 NA NA 3575 636 781 NA NA 3741 729 881 NA NA
1465682400.0 117.0 53 154 172 NA NA 91 205 224 NA NA 5220 664 883 NA NA 5412 782 944 NA NA
1465682400.0 118.0 53 152 174 NA NA 91 206 223 NA NA 5888 767 651 NA NA 5950 825 675 NA NA
1465682400.0 119.0 52 153 176 NA NA 88 203 222 NA NA 3178 511 620 NA NA 3284 672 674 NA NA
1465682400.0 12.0 NA 157 172 0 NA NA 217 224 0 NA NA 3031 4810 1363 NA NA 3418 4899 1397 NA
1465682400.0 120.0 46 148 167 NA NA 76 200 218 NA NA 622 538 601 NA NA 782 653 698 NA NA
1465682400.0 1200.0 74 183 0 NA NA 121 231 0 NA NA 247 884 112 NA NA 343 1027 137 NA NA
1465682400.0 1201.0 215 NA NA NA NA 275 NA NA NA NA 706 NA NA NA NA 804 NA NA NA NA
1465682400.0 121.0 53 153 171 NA NA 91 206 224 NA NA 4909 653 785 NA NA 5127 742 854 NA NA
1465682400.0 122.0 51 162 176 NA NA 88 202 221 NA NA 1196 436 458 NA NA 1233 501 509 NA NA
1465682400.0 123.1 213 NA NA NA NA 273 NA NA NA NA 648 NA NA NA NA 718 NA NA NA NA
1465682400.0 123.2 215 NA NA NA NA 276 NA NA NA NA 839 NA NA NA NA 904 NA NA NA NA
1465682400.0 123.3 197 NA NA NA NA 259 NA NA NA NA 969 NA NA NA NA 1063 NA NA NA NA
1465682400.0 124.1 205 NA NA NA NA 267 NA NA NA NA 972 NA NA NA NA 1059 NA NA NA NA
1465682400.0 124.2 211 NA NA NA NA 272 NA NA NA NA 615 NA NA NA NA 698 NA NA NA NA
1465682400.0 124.4 206 NA NA NA NA 267 NA NA NA NA 989 NA NA NA NA 1107 NA NA NA NA
1465682400.0 124.5 207 NA NA NA NA 267 NA NA NA NA 551 NA NA NA NA 625 NA NA NA NA
1465682400.0 124.6 200 NA NA NA NA 260 NA NA NA NA 988 NA NA NA NA 1139 NA NA NA NA
1465682400.0 125.0 52 152 170 NA NA 91 204 222 NA NA 3306 672 701 NA NA 3536 796 784 NA NA
1465682400.0 126.0 48 151 170 NA NA 82 201 219 NA NA 1160 500 547 NA NA 1192 599 600 NA NA
1465682400.0 127.0 46 151 167 NA NA 77 200 218 NA NA 916 520 565 NA NA 968 641 651 NA NA
1465682400.0 128.0 46 148 166 NA NA 76 200 218 NA NA 558 521 590 NA NA 667 627 685 NA NA
1465682400.0 129.0 46 148 166 NA NA 76 200 218 NA NA 543 553 561 NA NA 588 666 643 NA NA
