Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1466287200.0 135.7 371 0 101 NA NA 478 0 161 NA NA 1161 272 249 NA NA 963 278 241 NA NA
1466287200.0 1350.0 NA 182 418 0 NA NA 252 495 0 NA NA 708 2262 1122 NA NA 518 2265 1131 NA
1466287200.0 1351.0 NA 189 426 0 NA NA 253 496 0 NA NA 514 1562 923 NA NA 392 1465 935 NA
1466287200.0 1353.0 NA 191 427 0 NA NA 258 497 0 NA NA 780 2377 1101 NA NA 531 2278 1109 NA
1466287200.0 1354.0 NA 192 427 0 NA NA 262 497 0 NA NA 605 2423 1250 NA NA 422 2188 1260 NA
1466287200.0 1355.0 NA 192 433 0 NA NA 261 507 0 NA NA 752 2621 1131 NA NA 502 2303 1139 NA
1466287200.0 139901.0 NA 193 425 0 NA NA 252 496 0 NA NA 480 1455 999 NA NA 365 1336 1017 NA
1466287200.0 145.0 NA 245 470 0 NA NA 348 558 0 NA NA 2903 3254 133 NA NA 2126 2360 142 NA
1466287200.0 204.0 81 113 397 0 NA 147 168 474 0 NA 4599 762 1942 385 NA 1653 719 1315 393 NA
1466287200.0 250400.0 399 0 109 NA NA 527 0 166 NA NA 1715 212 376 NA NA 1205 220 278 NA NA
1466287200.0 250402.0 404 0 108 NA NA 525 0 164 NA NA 1777 285 347 NA NA 1192 291 267 NA NA
1466287200.0 250403.0 405 0 110 NA NA 525 0 166 NA NA 1645 203 493 NA NA 1131 209 306 NA NA
1466287200.0 250405.0 398 0 112 NA NA 518 0 164 NA NA 1037 181 293 NA NA 771 193 236 NA NA
1466287200.0 250406.0 397 0 106 NA NA 512 0 164 NA NA 839 238 204 NA NA 816 259 195 NA NA
1466287200.0 250407.0 355 0 105 NA NA 460 0 165 NA NA 861 163 246 NA NA 676 177 210 NA NA
1466287200.0 250408.0 403 0 109 NA NA 530 0 164 NA NA 1245 181 316 NA NA 792 200 238 NA NA
1466287200.0 250409.0 421 0 120 NA NA 549 0 165 NA NA 1546 214 426 NA NA 900 224 268 NA NA
1466287200.0 25211.0 104 299 638 0 NA 161 373 750 0 NA 5085 3658 5804 1265 NA 4502 3065 4787 1301 NA
1466287200.0 25212.0 108 294 623 0 NA 164 378 723 0 NA 5642 4509 6214 1266 NA 4619 3068 5156 1315 NA
1466287200.0 25400.0 477 0 115 NA NA 607 0 163 NA NA 2694 200 264 NA NA 1752 211 212 NA NA
1466287200.0 25403.0 480 0 108 NA NA 617 0 164 NA NA 3693 207 258 NA NA 2316 215 209 NA NA
1466287200.0 25405.0 484 0 108 NA NA 614 0 164 NA NA 3736 206 261 NA NA 2305 213 210 NA NA
1466287200.0 25407.0 432 0 107 NA NA 554 0 165 NA NA 3086 199 242 NA NA 1885 209 206 NA NA
1466287200.0 300.0 124 232 483 0 NA 202 329 578 0 NA 3009 1060 1851 160 NA 1435 1030 1753 167 NA
1466287200.0 301.0 118 225 474 0 NA 200 328 569 0 NA 4504 1295 1832 211 NA 1643 844 1708 220 NA
1466287200.0 4.52 NA 40 349 0 NA NA 81 422 0 NA NA 161 10825 335 NA NA 186 3414 345 NA
1466287200.0 4.65 NA 32 369 0 NA NA 81 441 0 NA NA 173 12499 338 NA NA 266 3694 346 NA
1466287200.0 4.67 NA 49 355 0 NA NA 97 431 0 NA NA 146 7776 285 NA NA 491 2659 295 NA
1466287200.0 4.68 NA 49 350 0 NA NA 90 424 0 NA NA 158 9595 329 NA NA 174 2969 357 NA
1466287200.0 4.76 NA 57 359 0 NA NA 95 422 0 NA NA 143 7608 339 NA NA 231 2564 420 NA
1466287200.0 500203.0 NA 171 444 0 NA NA 235 525 0 NA NA 3751 2138 321 NA NA 2166 999 342 NA
1466287200.0 500204.0 NA 169 437 0 NA NA 237 516 0 NA NA 3897 1978 356 NA NA 2257 962 374 NA
1466287200.0 500206.0 NA 169 445 0 NA NA 234 527 0 NA NA 3743 2045 343 NA NA 2128 981 353 NA
1466287200.0 500207.0 NA 163 437 0 NA NA 228 512 0 NA NA 3804 2943 388 NA NA 2290 1414 397 NA
1466287200.0 50200.0 NA 134 519 0 NA NA 201 601 0 NA NA 1768 3174 389 NA NA 1282 2017 402 NA
1466287200.0 50202.0 NA 150 532 0 NA NA 207 630 0 NA NA 1643 4356 405 NA NA 1181 2237 415 NA
1466287200.0 50205.0 NA 149 527 0 NA NA 212 610 0 NA NA 1541 4765 389 NA NA 987 2423 397 NA
1466287200.0 50206.0 NA 143 494 0 NA NA 206 580 0 NA NA 1835 3761 461 NA NA 1319 1964 468 NA
1466287200.0 50207.0 NA 141 501 0 NA NA 198 592 0 NA NA 1432 3089 381 NA NA 1098 2135 389 NA
