Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1466024400.0 1.0 51 69 120 NA NA NA NA NA 97 143 174 NA NA NA NA NA 1681 333 387 NA NA NA NA NA 1789 346 413 NA NA NA NA NA
1466024400.0 10.0 NA 81 185 0 NA NA NA NA NA 148 245 0 NA NA NA NA NA 4042 4132 1308 NA NA NA NA NA 4136 7972 1335 NA NA NA NA
1466024400.0 1000.0 NA 197 106 0 37 NA NA NA NA 267 161 0 76 NA NA NA NA 2828 561 851 170 NA NA NA NA 3030 674 922 395 NA NA NA
1466024400.0 1001.0 NA 173 161 0 0 0 0 0 NA 235 205 0 0 0 0 0 NA 2394 420 7 70 374 67 404 NA 2546 460 17 75 381 75 414
1466024400.0 1002.0 NA 196 58 NA NA NA NA NA NA 266 98 NA NA NA NA NA NA 2327 149 NA NA NA NA NA NA 3492 229 NA NA NA NA NA
1466024400.0 10021.0 NA 84 118 0 NA NA NA NA NA 172 170 0 NA NA NA NA NA 601 867 256 NA NA NA NA NA 859 1036 288 NA NA NA NA
1466024400.0 10023.0 NA 86 120 0 NA NA NA NA NA 172 171 0 NA NA NA NA NA 635 613 230 NA NA NA NA NA 788 976 241 NA NA NA NA
1466024400.0 10024.0 NA 90 122 0 NA NA NA NA NA 172 176 0 NA NA NA NA NA 672 824 309 NA NA NA NA NA 1078 1011 336 NA NA NA NA
1466024400.0 10025.0 NA 85 118 0 NA NA NA NA NA 172 171 0 NA NA NA NA NA 596 677 281 NA NA NA NA NA 847 839 302 NA NA NA NA
1466024400.0 10026.0 NA 90 122 0 NA NA NA NA NA 172 176 0 NA NA NA NA NA 699 870 297 NA NA NA NA NA 863 1232 321 NA NA NA NA
