Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1465549200.0 1.0 51 83 129 NA NA NA NA NA 96 146 187 NA NA NA NA NA 3011 530 967 NA NA NA NA NA 3277 622 1093 NA NA NA NA NA
1465549200.0 10.0 NA 83 196 0 NA NA NA NA NA 151 257 0 NA NA NA NA NA 2041 2110 586 NA NA NA NA NA 2086 3345 4486 NA NA NA NA
1465549200.0 1000.0 NA 216 114 0 42 NA NA NA NA 283 168 0 77 NA NA NA NA 3682 424 460 103 NA NA NA NA 4008 499 471 170 NA NA NA
1465549200.0 1001.0 NA 184 176 0 0 0 0 0 NA 243 217 0 0 0 0 0 NA 2818 692 8 75 931 71 672 NA 3009 895 15 79 962 88 777
1465549200.0 1002.0 NA 212 61 NA NA NA NA NA NA 277 100 NA NA NA NA NA NA 3396 237 NA NA NA NA NA NA 3690 281 NA NA NA NA NA
1465549200.0 10021.0 NA 100 226 0 NA NA NA NA NA 197 316 0 NA NA NA NA NA 665 1616 588 NA NA NA NA NA 1155 1993 627 NA NA NA NA
1465549200.0 10023.0 NA 100 217 0 NA NA NA NA NA 196 316 0 NA NA NA NA NA 608 1122 542 NA NA NA NA NA 788 1405 590 NA NA NA NA
1465549200.0 10024.0 NA 103 238 0 NA NA NA NA NA 198 317 0 NA NA NA NA NA 712 1549 596 NA NA NA NA NA 833 1961 643 NA NA NA NA
1465549200.0 10024.1 NA 112 151 0 NA NA NA NA NA 197 221 0 NA NA NA NA NA 449 571 356 NA NA NA NA NA 527 662 386 NA NA NA NA
1465549200.0 10024.2 NA 104 244 0 NA NA NA NA NA 196 316 0 NA NA NA NA NA 460 1177 401 NA NA NA NA NA 539 1235 416 NA NA NA NA
1465549200.0 10024.3 NA 110 146 0 NA NA NA NA NA 197 217 0 NA NA NA NA NA 458 564 323 NA NA NA NA NA 526 681 337 NA NA NA NA
1465549200.0 10024.4 NA 103 238 0 NA NA NA NA NA 196 315 0 NA NA NA NA NA 447 1139 433 NA NA NA NA NA 703 1204 443 NA NA NA NA
1465549200.0 10024.5 NA 109 141 0 NA NA NA NA NA 196 217 0 NA NA NA NA NA 454 511 326 NA NA NA NA NA 558 635 344 NA NA NA NA
1465549200.0 10025.0 NA 100 230 0 NA NA NA NA NA 198 316 0 NA NA NA NA NA 640 1250 575 NA NA NA NA NA 818 1579 644 NA NA NA NA
1465549200.0 10026.0 NA 109 236 0 NA NA NA NA NA 198 317 0 NA NA NA NA NA 709 1756 607 NA NA NA NA NA 911 2071 631 NA NA NA NA
1465549200.0 1003.0 NA 177 0 NA NA NA NA NA NA 249 0 NA NA NA NA NA NA 4620 458 NA NA NA NA NA NA 5009 491 NA NA NA NA NA
1465549200.0 1004.0 NA 178 133 0 0 0 0 NA NA 239 180 0 0 0 0 NA NA 768 344 8 78 948 599 NA NA 834 407 11 116 1047 605 NA
1465549200.0 101.0 82 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 1338 NA NA NA NA NA NA NA 1356 NA NA NA NA NA NA NA
1465549200.0 102.0 82 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 889 NA NA NA NA NA NA NA 1012 NA NA NA NA NA NA NA
1465549200.0 10224.0 NA 134 299 0 NA NA NA NA NA 200 393 0 NA NA NA NA NA 2678 4724 498 NA NA NA NA NA 8541 10748 540 NA NA NA NA
1465549200.0 10225.0 NA 140 297 0 NA NA NA NA NA 210 389 0 NA NA NA NA NA 2733 4331 496 NA NA NA NA NA 12124 15039 509 NA NA NA NA
1465549200.0 103.0 36 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 431 91 175 NA NA NA NA NA 460 102 352 NA NA NA NA NA
1465549200.0 105.0 51 78 24 NA NA NA NA NA 96 148 54 NA NA NA NA NA 3000 367 3 NA NA NA NA NA 3286 489 8 NA NA NA NA NA
1465549200.0 106.0 37 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 427 93 177 NA NA NA NA NA 447 104 207 NA NA NA NA NA
1465549200.0 107.0 53 79 194 NA NA NA NA NA 98 148 254 NA NA NA NA NA 5306 364 500 NA NA NA NA NA 5719 398 531 NA NA NA NA NA
1465549200.0 108.0 56 89 195 NA NA NA NA NA 101 148 255 NA NA NA NA NA 9251 674 922 NA NA NA NA NA 9586 774 2704 NA NA NA NA NA
1465549200.0 10821.0 94 NA NA NA NA NA NA NA 138 NA NA NA NA NA NA NA 3105 NA NA NA NA NA NA NA 3197 NA NA NA NA NA NA NA
1465549200.0 10824.0 105 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 14260 NA NA NA NA NA NA NA 14705 NA NA NA NA NA NA NA
1465549200.0 10825.0 102 NA NA NA NA NA NA NA 150 NA NA NA NA NA NA NA 16166 NA NA NA NA NA NA NA 17354 NA NA NA NA NA NA NA
1465549200.0 10826.0 108 NA NA NA NA NA NA NA 156 NA NA NA NA NA NA NA 31518 NA NA NA NA NA NA NA 33035 NA NA NA NA NA NA NA
1465549200.0 109.0 57 86 195 NA NA NA NA NA 101 148 255 NA NA NA NA NA 8615 663 889 NA NA NA NA NA 8942 724 963 NA NA NA NA NA
1465549200.0 11.0 NA 79 202 0 52 NA NA NA NA 150 264 0 90 NA NA NA NA 2908 1285 918 54 NA NA NA NA 2998 1418 935 87 NA NA NA
1465549200.0 110.0 46 81 191 NA NA NA NA NA 89 148 254 NA NA NA NA NA 656 359 434 NA NA NA NA NA 691 396 480 NA NA NA NA NA
1465549200.0 1102.0 NA 82 199 121 66 NA NA NA NA 150 263 175 112 NA NA NA NA 3801 4484 3579 251 NA NA NA NA 3992 5806 3819 297 NA NA NA
1465549200.0 11021.0 93 206 91 NA NA NA NA NA 138 255 133 NA NA NA NA NA 6099 4645 2615 NA NA NA NA NA 6314 5186 2718 NA NA NA NA NA
1465549200.0 11024.0 106 211 94 NA NA NA NA NA 151 258 136 NA NA NA NA NA 18978 4741 2570 NA NA NA NA NA 36539 5576 2640 NA NA NA NA NA
1465549200.0 11025.0 104 212 93 NA NA NA NA NA 150 258 135 NA NA NA NA NA 11297 2383 1126 NA NA NA NA NA 12097 2726 1202 NA NA NA NA NA
1465549200.0 11026.0 106 210 94 NA NA NA NA NA 155 259 137 NA NA NA NA NA 23375 2460 1172 NA NA NA NA NA 30383 4269 1278 NA NA NA NA NA
1465549200.0 111.0 52 79 194 NA NA NA NA NA 98 148 255 NA NA NA NA NA 3442 491 657 NA NA NA NA NA 3632 609 751 NA NA NA NA NA
1465549200.0 112.0 54 80 193 NA NA NA NA NA 98 148 255 NA NA NA NA NA 6809 381 458 NA NA NA NA NA 7178 405 533 NA NA NA NA NA
1465549200.0 113.0 57 89 193 NA NA NA NA NA 100 148 255 NA NA NA NA NA 7188 380 517 NA NA NA NA NA 7366 413 547 NA NA NA NA NA
1465549200.0 114.0 54 83 192 NA NA NA NA NA 100 148 255 NA NA NA NA NA 6795 389 536 NA NA NA NA NA 6877 416 563 NA NA NA NA NA
1465549200.0 115.0 55 88 195 NA NA NA NA NA 100 148 255 NA NA NA NA NA 6894 392 566 NA NA NA NA NA 6976 408 599 NA NA NA NA NA
1465549200.0 116.0 56 79 189 NA NA NA NA NA 100 148 255 NA NA NA NA NA 6772 435 561 NA NA NA NA NA 6909 456 616 NA NA NA NA NA
1465549200.0 117.0 55 88 196 NA NA NA NA NA 101 148 255 NA NA NA NA NA 9411 667 869 NA NA NA NA NA 9732 742 908 NA NA NA NA NA
1465549200.0 118.0 57 79 197 NA NA NA NA NA 101 148 255 NA NA NA NA NA 9152 708 967 NA NA NA NA NA 9592 809 1127 NA NA NA NA NA
1465549200.0 119.0 53 85 190 NA NA NA NA NA 97 148 255 NA NA NA NA NA 5107 390 505 NA NA NA NA NA 5321 411 551 NA NA NA NA NA
1465549200.0 12.0 NA 80 202 0 NA NA NA NA NA 151 257 0 NA NA NA NA NA 1909 2180 645 NA NA NA NA NA 2053 2385 666 NA NA NA NA
1465549200.0 120.0 45 83 190 NA NA NA NA NA 88 148 254 NA NA NA NA NA 541 370 415 NA NA NA NA NA 666 401 466 NA NA NA NA NA
1465549200.0 121.0 57 86 198 NA NA NA NA NA 101 148 255 NA NA NA NA NA 8967 670 991 NA NA NA NA NA 9271 773 1074 NA NA NA NA NA
1465549200.0 122.0 49 81 189 NA NA NA NA NA 95 148 255 NA NA NA NA NA 861 224 402 NA NA NA NA NA 935 248 502 NA NA NA NA NA
1465549200.0 123.1 179 NA NA NA NA NA NA NA 241 NA NA NA NA NA NA NA 681 NA NA NA NA NA NA NA 721 NA NA NA NA NA NA NA
1465549200.0 123.2 178 NA NA NA NA NA NA NA 243 NA NA NA NA NA NA NA 710 NA NA NA NA NA NA NA 759 NA NA NA NA NA NA NA
1465549200.0 123.3 164 NA NA NA NA NA NA NA 223 NA NA NA NA NA NA NA 426 NA NA NA NA NA NA NA 450 NA NA NA NA NA NA NA
1465549200.0 124.1 177 NA NA NA NA NA NA NA 235 NA NA NA NA NA NA NA 409 NA NA NA NA NA NA NA 536 NA NA NA NA NA NA NA
1465549200.0 124.2 179 NA NA NA NA NA NA NA 241 NA NA NA NA NA NA NA 685 NA NA NA NA NA NA NA 716 NA NA NA NA NA NA NA
1465549200.0 124.4 171 NA NA NA NA NA NA NA 236 NA NA NA NA NA NA NA 422 NA NA NA NA NA NA NA 445 NA NA NA NA NA NA NA
1465549200.0 124.5 175 NA NA NA NA NA NA NA 235 NA NA NA NA NA NA NA 422 NA NA NA NA NA NA NA 497 NA NA NA NA NA NA NA
1465549200.0 124.6 168 NA NA NA NA NA NA NA 223 NA NA NA NA NA NA NA 414 NA NA NA NA NA NA NA 441 NA NA NA NA NA NA NA
1465549200.0 125.0 52 79 203 NA NA NA NA NA 98 148 255 NA NA NA NA NA 5789 377 468 NA NA NA NA NA 10747 528 515 NA NA NA NA NA
1465549200.0 126.0 46 81 190 NA NA NA NA NA 89 148 254 NA NA NA NA NA 2097 567 622 NA NA NA NA NA 2173 593 756 NA NA NA NA NA
1465549200.0 127.0 46 76 190 NA NA NA NA NA 89 148 254 NA NA NA NA NA 2012 551 614 NA NA NA NA NA 2092 586 648 NA NA NA NA NA
1465549200.0 128.0 43 82 190 NA NA NA NA NA 83 148 254 NA NA NA NA NA 512 378 412 NA NA NA NA NA 599 410 464 NA NA NA NA NA
