Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1465160400.0 1354.0 NA 171 247 0 NA NA NA NA 345 458 0 NA NA NA NA 614 1495 1253 NA NA NA NA 804 1583 1282 NA NA NA
1465160400.0 1355.0 NA 168 248 0 NA NA NA NA 345 458 0 NA NA NA NA 630 1500 1292 NA NA NA NA 789 1767 1359 NA NA NA
1465160400.0 1360.0 75 181 246 0 NA NA NA 225 336 458 0 NA NA NA 3463 473 1433 1323 NA NA NA 6007 541 1597 1394 NA NA NA
1465160400.0 1361.0 65 159 245 0 NA NA NA 225 334 458 0 NA NA NA 7204 656 1758 1351 NA NA NA 9553 1218 1876 1373 NA NA NA
1465160400.0 1362.0 63 163 244 0 NA NA NA 225 333 458 0 NA NA NA 7311 618 1751 1341 NA NA NA 11037 1161 1873 1363 NA NA NA
1465160400.0 13992502.0 NA 199 305 0 NA NA NA NA 399 549 0 NA NA NA NA 3280 4675 1399 NA NA NA NA 6394 17295 1462 NA NA NA
1465160400.0 140.51 NA 28 180 0 NA NA NA NA 127 349 0 NA NA NA NA 597 1392 289 NA NA NA NA 1144 1479 317 NA NA NA
1465160400.0 140.52 NA 193 182 0 NA NA NA NA 374 353 0 NA NA NA NA 1821 1430 282 NA NA NA NA 1907 1476 304 NA NA NA
1465160400.0 144.6 NA 212 NA NA NA NA NA NA 405 NA NA NA NA NA NA 2102 NA NA NA NA NA NA 2200 NA NA NA NA NA
1465160400.0 16.0 NA 81 197 0 NA NA NA NA 236 393 0 NA NA NA NA 1719 1118 538 NA NA NA NA 1821 1162 561 NA NA NA
1465160400.0 203.0 NA 86 211 0 NA NA NA NA 237 418 0 NA NA NA NA 671 1111 577 NA NA NA NA 1351 1867 605 NA NA NA
1465160400.0 204.0 55 91 206 0 NA NA NA 167 241 412 0 NA NA NA 8944 646 1095 574 NA NA NA 9333 1326 2005 896 NA NA NA
1465160400.0 205.0 NA 84 203 0 NA NA NA NA 237 411 0 NA NA NA NA 643 910 563 NA NA NA NA 1404 1593 598 NA NA NA
1465160400.0 24.0 NA 82 196 0 NA NA NA NA 236 396 0 NA NA NA NA 2111 2454 645 NA NA NA NA 2397 2561 676 NA NA NA
1465160400.0 250200.1 62 193 191 NA NA NA NA 175 385 367 NA NA NA NA 8685 1536 3041 NA NA NA NA 8916 1938 3709 NA NA NA NA
