Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1465938000.0 1.0 52 74 128 NA NA NA NA NA 164 231 284 NA NA NA NA NA 3423 376 1336 NA NA NA NA NA 3821 393 1367 NA NA NA NA NA
1465938000.0 10.0 NA 82 200 0 NA NA NA NA NA 238 398 0 NA NA NA NA NA 3082 3253 905 NA NA NA NA NA 3169 3470 970 NA NA NA NA
1465938000.0 1000.0 NA 209 122 0 40 NA NA NA NA 408 268 0 138 NA NA NA NA 4806 657 681 152 NA NA NA NA 4929 778 703 207 NA NA NA
1465938000.0 1001.0 NA 183 171 0 0 0 0 0 NA 374 300 0 0 0 0 0 NA 1995 373 4 57 475 42 368 NA 2031 400 8 59 512 47 371
1465938000.0 1002.0 NA 211 60 NA NA NA NA NA NA 410 141 NA NA NA NA NA NA 2968 196 NA NA NA NA NA NA 3077 207 NA NA NA NA NA
1465938000.0 10021.0 NA 102 233 0 NA NA NA NA NA 283 459 0 NA NA NA NA NA 767 1861 691 NA NA NA NA NA 893 2085 724 NA NA NA NA
1465938000.0 10023.0 NA 97 228 0 NA NA NA NA NA 284 460 0 NA NA NA NA NA 747 1498 698 NA NA NA NA NA 861 1644 756 NA NA NA NA
1465938000.0 10024.0 NA 101 242 0 NA NA NA NA NA 285 460 0 NA NA NA NA NA 836 1802 625 NA NA NA NA NA 1591 1934 672 NA NA NA NA
1465938000.0 10024.1 NA 103 148 0 NA NA NA NA NA 284 327 0 NA NA NA NA NA 879 827 752 NA NA NA NA NA 1421 942 780 NA NA NA NA
1465938000.0 10024.2 NA 103 240 0 NA NA NA NA NA 284 459 0 NA NA NA NA NA 888 1960 642 NA NA NA NA NA 1009 2156 662 NA NA NA NA
1465938000.0 10024.3 NA 103 141 0 NA NA NA NA NA 284 322 0 NA NA NA NA NA 957 804 628 NA NA NA NA NA 1137 964 678 NA NA NA NA
1465938000.0 10024.4 NA 103 231 0 NA NA NA NA NA 284 459 0 NA NA NA NA NA 859 2092 663 NA NA NA NA NA 1037 2310 703 NA NA NA NA
1465938000.0 10024.5 NA 104 139 0 NA NA NA NA NA 286 322 0 NA NA NA NA NA 915 707 496 NA NA NA NA NA 1036 818 520 NA NA NA NA
1465938000.0 10025.0 NA 99 233 0 NA NA NA NA NA 284 460 0 NA NA NA NA NA 800 1556 652 NA NA NA NA NA 1243 1694 673 NA NA NA NA
1465938000.0 10026.0 NA 103 241 0 NA NA NA NA NA 284 460 0 NA NA NA NA NA 898 2280 732 NA NA NA NA NA 1211 2427 755 NA NA NA NA
1465938000.0 1003.0 NA 178 0 NA NA NA NA NA NA 372 0 NA NA NA NA NA NA 5527 514 NA NA NA NA NA NA 6327 619 NA NA NA NA NA
1465938000.0 1004.0 NA 178 131 0 0 0 0 NA NA 360 249 0 0 0 0 NA NA 978 344 10 78 909 1019 NA NA 1132 421 13 81 912 1026 NA
1465938000.0 101.0 81 NA NA NA NA NA NA NA 235 NA NA NA NA NA NA NA 1566 NA NA NA NA NA NA NA 1618 NA NA NA NA NA NA NA
1465938000.0 102.0 82 NA NA NA NA NA NA NA 234 NA NA NA NA NA NA NA 912 NA NA NA NA NA NA NA 1219 NA NA NA NA NA NA NA
1465938000.0 10224.0 NA 136 303 0 NA NA NA NA NA 289 536 0 NA NA NA NA NA 2805 5152 545 NA NA NA NA NA 7471 11568 597 NA NA NA NA
1465938000.0 10225.0 NA 139 301 0 NA NA NA NA NA 302 540 0 NA NA NA NA NA 4481 6756 778 NA NA NA NA NA 12871 17985 888 NA NA NA NA
1465938000.0 103.0 36 0 0 NA NA NA NA NA 143 0 0 NA NA NA NA NA 402 96 195 NA NA NA NA NA 433 114 250 NA NA NA NA NA
1465938000.0 105.0 52 77 24 NA NA NA NA NA 164 235 120 NA NA NA NA NA 3836 583 4 NA NA NA NA NA 4151 625 6 NA NA NA NA NA
1465938000.0 106.0 36 0 0 NA NA NA NA NA 143 0 0 NA NA NA NA NA 411 101 204 NA NA NA NA NA 452 160 276 NA NA NA NA NA
1465938000.0 107.0 53 79 190 NA NA NA NA NA 166 235 395 NA NA NA NA NA 8133 622 713 NA NA NA NA NA 8307 691 748 NA NA NA NA NA
1465938000.0 108.0 55 81 198 NA NA NA NA NA 168 235 395 NA NA NA NA NA 10669 559 901 NA NA NA NA NA 15272 676 949 NA NA NA NA NA
1465938000.0 10821.0 93 NA NA NA NA NA NA NA 203 NA NA NA NA NA NA NA 7160 NA NA NA NA NA NA NA 7308 NA NA NA NA NA NA NA
1465938000.0 10824.0 107 NA NA NA NA NA NA NA 221 NA NA NA NA NA NA NA 25386 NA NA NA NA NA NA NA 27592 NA NA NA NA NA NA NA
1465938000.0 10825.0 104 NA NA NA NA NA NA NA 219 NA NA NA NA NA NA NA 13314 NA NA NA NA NA NA NA 15133 NA NA NA NA NA NA NA
