Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1466197200.0 34.0 66 91 220 0 NA 112 157 270 0 NA 7873 818 1197 1112 NA 7979 922 1322 1137 NA
1466197200.0 35.0 NA 90 224 0 NA NA 163 275 0 NA NA 3914 3550 1277 NA NA 4062 3748 1300 NA
1466197200.0 36.0 NA 97 225 0 NA NA 163 282 0 NA NA 4773 17991 1352 NA NA 5001 18138 1375 NA
1466197200.0 37.0 NA 99 227 0 NA NA 163 278 0 NA NA 4433 5835 1316 NA NA 4618 6119 1342 NA
1466197200.0 38.0 NA 90 225 0 NA NA 164 277 0 NA NA 4540 4954 1379 NA NA 4671 5201 1401 NA
1466197200.0 4.41 NA 49 242 0 NA NA 91 300 0 NA NA 218 10004 1058 NA NA 301 10426 1185 NA
1466197200.0 4.42 NA 48 247 0 NA NA 91 308 0 NA NA 260 13173 1245 NA NA 296 13385 1271 NA
1466197200.0 4.44 NA 53 240 0 NA NA 91 298 0 NA NA 221 8736 1213 NA NA 327 9138 1237 NA
1466197200.0 4.45 NA 41 249 0 NA NA 91 306 0 NA NA 269 14337 1195 NA NA 375 14734 1324 NA
1466197200.0 4.51 NA 48 248 0 NA NA 92 307 0 NA NA 241 11186 1088 NA NA 363 11609 1211 NA
1466197200.0 4.52 NA 44 248 0 NA NA 90 309 0 NA NA 275 15199 1232 NA NA 319 15518 1364 NA
1466197200.0 4.53 NA 52 262 0 NA NA 91 304 0 NA NA 270 13951 1054 NA NA 364 14165 1080 NA
1466197200.0 4.54 NA 40 249 0 NA NA 91 310 0 NA NA 280 14477 1245 NA NA 377 14906 1271 NA
1466197200.0 4.55 NA 48 248 0 NA NA 90 307 0 NA NA 273 17946 1155 NA NA 290 18287 1279 NA
1466197200.0 4.65 NA 53 252 0 NA NA 90 316 0 NA NA 309 22244 1143 NA NA 380 22610 1170 NA
1466197200.0 43.0 NA 89 223 0 NA NA 163 276 0 NA NA 4455 5129 1418 NA NA 4621 5321 1537 NA
1466197200.0 50206.0 NA 110 289 0 NA NA 173 369 0 NA NA 3324 5648 1283 NA NA 6663 8585 1307 NA
