Creation,MergeTime,id,isPr,N. of Comments,Closed,N. Labels,author, labelStatus, lastUpdateTime, milestoneTitle
1466108817,1466142948,14911,1,13,1,5,fabozzi,NNNNNNNNNNNNANNAN,1466142949,Next CMSSW_8_1_X
1466112177,NA,14912,1,12,0,5,fabozzi,NNNNNNNNNNNNANNAN,1466164312,Next CMSSW_8_0_X
1466146442,1466176857,14913,1,7,1,5,Sam-Harper,NNNNNNNNNNNNNNNAN,1466176857,Next CMSSW_8_1_X
1466162190,NA,14914,0,3,0,2,Dr15Jones,NNNNNNPNNNNNNNNNN,1466162259,-
1466163259,NA,14915,1,15,0,5,mtosi,NNNNNPNNNNNNNNNSN,1466342980,Next CMSSW_8_1_X
1466164887,NA,14916,1,3,0,5,mtosi,NNNNNPNNNNNNNNNSN,1466343050,Next CMSSW_8_0_X
1466173142,NA,14917,1,6,0,5,ianna,NNNNNNNNNPNNNNNRN,1466187170,Next CMSSW_8_1_X
1466177009,1466178549,14918,1,3,1,6,smuzaffar,NPNNNNNNNNNNNPNPN,1466178625,Next CMSSW_8_0_X
1466191220,NA,14919,0,4,0,2,davidlt,NNNNNNNNNNNNNNPNN,1466191439,-
1466345408,NA,14920,1,1,0,5,igv4321,NNNNNNNNNNNNNPNPN,1466345432,Next CMSSW_8_1_X
