Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1465592400.0 1.0 51 74 127 NA NA NA NA NA 97 146 187 NA NA NA NA NA 2725 310 1166 NA NA NA NA NA 2868 375 1282 NA NA NA NA NA
1465592400.0 10.0 NA 82 196 0 NA NA NA NA NA 152 258 0 NA NA NA NA NA 2296 1897 495 NA NA NA NA NA 2405 2775 738 NA NA NA NA
1465592400.0 1000.0 NA 208 112 0 38 NA NA NA NA 281 169 0 78 NA NA NA NA 3260 474 549 150 NA NA NA NA 3425 689 586 220 NA NA NA
1465592400.0 1001.0 NA 181 166 0 0 0 0 0 NA 244 217 0 0 0 0 0 NA 2003 407 6 52 447 37 479 NA 2130 561 64 58 483 47 505
1465592400.0 1002.0 NA 210 60 NA NA NA NA NA NA 278 100 NA NA NA NA NA NA 2729 155 NA NA NA NA NA NA 2821 166 NA NA NA NA NA
1465592400.0 10021.0 NA 99 227 0 NA NA NA NA NA 198 317 0 NA NA NA NA NA 393 1242 436 NA NA NA NA NA 599 1486 514 NA NA NA NA
1465592400.0 10023.0 NA 99 224 0 NA NA NA NA NA 198 317 0 NA NA NA NA NA 383 959 413 NA NA NA NA NA 730 1250 436 NA NA NA NA
1465592400.0 10024.0 NA 103 235 0 NA NA NA NA NA 199 317 0 NA NA NA NA NA 433 1432 434 NA NA NA NA NA 571 1874 483 NA NA NA NA
1465592400.0 10024.1 NA 103 150 0 NA NA NA NA NA 199 222 0 NA NA NA NA NA 435 400 248 NA NA NA NA NA 582 452 255 NA NA NA NA
1465592400.0 10024.2 NA 103 235 0 NA NA NA NA NA 199 317 0 NA NA NA NA NA 419 1393 388 NA NA NA NA NA 605 1748 404 NA NA NA NA
1465592400.0 10024.3 NA 103 146 0 NA NA NA NA NA 198 217 0 NA NA NA NA NA 677 695 429 NA NA NA NA NA 776 864 467 NA NA NA NA
1465592400.0 10024.4 NA 103 233 0 NA NA NA NA NA 199 316 0 NA NA NA NA NA 441 1396 408 NA NA NA NA NA 920 1766 470 NA NA NA NA
1465592400.0 10024.5 NA 103 141 0 NA NA NA NA NA 199 217 0 NA NA NA NA NA 447 455 223 NA NA NA NA NA 598 512 228 NA NA NA NA
1465592400.0 10025.0 NA 99 229 0 NA NA NA NA NA 199 317 0 NA NA NA NA NA 391 1068 378 NA NA NA NA NA 842 1276 416 NA NA NA NA
1465592400.0 10026.0 NA 102 237 0 NA NA NA NA NA 199 317 0 NA NA NA NA NA 472 1353 400 NA NA NA NA NA 909 1793 441 NA NA NA NA
1465592400.0 1003.0 NA 176 0 NA NA NA NA NA NA 246 0 NA NA NA NA NA NA 3061 320 NA NA NA NA NA NA 3286 336 NA NA NA NA NA
1465592400.0 1004.0 NA 176 131 0 0 0 0 NA NA 240 180 0 0 0 0 NA NA 522 212 5 56 408 319 NA NA 633 252 15 60 415 323 NA
1465592400.0 101.0 82 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 1835 NA NA NA NA NA NA NA 1939 NA NA NA NA NA NA NA
1465592400.0 102.0 82 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 1351 NA NA NA NA NA NA NA 1501 NA NA NA NA NA NA NA
1465592400.0 10224.0 NA 145 294 0 NA NA NA NA NA 205 392 0 NA NA NA NA NA 3658 6086 672 NA NA NA NA NA 8621 24049 692 NA NA NA NA
1465592400.0 10225.0 NA 144 298 0 NA NA NA NA NA 209 395 0 NA NA NA NA NA 3814 5674 651 NA NA NA NA NA 12642 25852 975 NA NA NA NA
1465592400.0 103.0 37 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 633 120 241 NA NA NA NA NA 674 135 261 NA NA NA NA NA
1465592400.0 105.0 52 77 19 NA NA NA NA NA 97 153 54 NA NA NA NA NA 2949 359 2 NA NA NA NA NA 3072 383 5 NA NA NA NA NA
1465592400.0 106.0 44 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 622 119 237 NA NA NA NA NA 654 130 286 NA NA NA NA NA
1465592400.0 107.0 53 78 193 NA NA NA NA NA 99 149 255 NA NA NA NA NA 7873 632 459 NA NA NA NA NA 8012 687 473 NA NA NA NA NA
1465592400.0 108.0 54 80 193 NA NA NA NA NA 101 149 255 NA NA NA NA NA 11108 595 901 NA NA NA NA NA 11205 644 959 NA NA NA NA NA
1465592400.0 10821.0 94 NA NA NA NA NA NA NA 139 NA NA NA NA NA NA NA 6143 NA NA NA NA NA NA NA 6287 NA NA NA NA NA NA NA
1465592400.0 10824.0 107 NA NA NA NA NA NA NA 153 NA NA NA NA NA NA NA 15094 NA NA NA NA NA NA NA 15800 NA NA NA NA NA NA NA
1465592400.0 10825.0 105 NA NA NA NA NA NA NA 151 NA NA NA NA NA NA NA 16598 NA NA NA NA NA NA NA 16934 NA NA NA NA NA NA NA
1465592400.0 10826.0 108 NA NA NA NA NA NA NA 156 NA NA NA NA NA NA NA 31372 NA NA NA NA NA NA NA 34986 NA NA NA NA NA NA NA
1465592400.0 109.0 58 81 195 NA NA NA NA NA 101 149 255 NA NA NA NA NA 10482 687 972 NA NA NA NA NA 10670 793 1053 NA NA NA NA NA
