Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1465894800.0 1.0 52 74 135 NA NA NA NA NA 97 146 187 NA NA NA NA NA 3323 751 1147 NA NA NA NA NA 3663 834 1182 NA NA NA NA NA
1465894800.0 10.0 NA 91 197 0 NA NA NA NA NA 151 258 0 NA NA NA NA NA 3635 3296 873 NA NA NA NA NA 3685 3365 905 NA NA NA NA
1465894800.0 1000.0 NA 211 112 0 44 NA NA NA NA 284 169 0 78 NA NA NA NA 4128 662 728 259 NA NA NA NA 4269 776 785 372 NA NA NA
1465894800.0 1001.0 NA 181 167 0 0 0 0 0 NA 244 217 0 0 0 0 0 NA 2691 460 7 66 453 52 445 NA 3181 507 11 70 456 57 449
1465894800.0 1002.0 NA 212 61 NA NA NA NA NA NA 278 100 NA NA NA NA NA NA 3768 244 NA NA NA NA NA NA 4132 347 NA NA NA NA NA
1465894800.0 10021.0 NA 98 228 0 NA NA NA NA NA 198 321 0 NA NA NA NA NA 739 1862 696 NA NA NA NA NA 845 2176 721 NA NA NA NA
1465894800.0 10023.0 NA 100 228 0 NA NA NA NA NA 198 321 0 NA NA NA NA NA 644 1295 655 NA NA NA NA NA 771 1858 696 NA NA NA NA
1465894800.0 10024.0 NA 102 241 0 NA NA NA NA NA 198 321 0 NA NA NA NA NA 767 1727 724 NA NA NA NA NA 1082 1903 747 NA NA NA NA
1465894800.0 10024.1 NA 104 147 0 NA NA NA NA NA 198 221 0 NA NA NA NA NA 750 741 536 NA NA NA NA NA 898 840 550 NA NA NA NA
1465894800.0 10024.2 NA 104 241 0 NA NA NA NA NA 198 320 0 NA NA NA NA NA 803 1730 733 NA NA NA NA NA 1123 1853 757 NA NA NA NA
1465894800.0 10024.3 NA 104 143 0 NA NA NA NA NA 198 217 0 NA NA NA NA NA 735 733 492 NA NA NA NA NA 893 843 516 NA NA NA NA
1465894800.0 10024.4 NA 112 247 0 NA NA NA NA NA 198 320 0 NA NA NA NA NA 481 1263 442 NA NA NA NA NA 851 1505 456 NA NA NA NA
1465894800.0 10024.5 NA 103 137 0 NA NA NA NA NA 198 217 0 NA NA NA NA NA 750 800 478 NA NA NA NA NA 873 1192 513 NA NA NA NA
1465894800.0 10025.0 NA 103 227 0 NA NA NA NA NA 198 321 0 NA NA NA NA NA 731 1435 785 NA NA NA NA NA 852 1726 843 NA NA NA NA
1465894800.0 10026.0 NA 104 237 0 NA NA NA NA NA 198 322 0 NA NA NA NA NA 472 1719 479 NA NA NA NA NA 576 1891 549 NA NA NA NA
1465894800.0 1003.0 NA 177 0 NA NA NA NA NA NA 245 0 NA NA NA NA NA NA 5096 560 NA NA NA NA NA NA 5245 595 NA NA NA NA NA
1465894800.0 101.0 82 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 1287 NA NA NA NA NA NA NA 1346 NA NA NA NA NA NA NA
