Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1465938000.0 1.0 52 75 128 NA NA NA NA 97 146 183 NA NA NA NA 4212 496 1714 NA NA NA NA 4340 523 1851 NA NA NA NA
1465938000.0 10.0 NA 92 198 0 NA NA NA NA 151 258 0 NA NA NA NA 4079 3693 999 NA NA NA NA 4131 3795 1070 NA NA NA
1465938000.0 1000.0 NA 213 125 0 39 NA NA NA 284 182 0 78 NA NA NA 4548 909 660 180 NA NA NA 4797 1154 687 207 NA NA
1465938000.0 1002.0 NA 211 60 NA NA NA NA NA 278 100 NA NA NA NA NA 3562 192 NA NA NA NA NA 3663 203 NA NA NA NA
1465938000.0 10021.0 NA 99 229 0 NA NA NA NA 198 321 0 NA NA NA NA 560 1888 592 NA NA NA NA 605 2020 614 NA NA NA
1465938000.0 10023.0 NA 101 227 0 NA NA NA NA 199 321 0 NA NA NA NA 549 1468 561 NA NA NA NA 610 1602 579 NA NA NA
1465938000.0 10024.0 NA 104 239 0 NA NA NA NA 199 321 0 NA NA NA NA 634 1940 595 NA NA NA NA 683 2072 641 NA NA NA
1465938000.0 10024.1 NA 103 145 0 NA NA NA NA 199 221 0 NA NA NA NA 592 491 305 NA NA NA NA 633 521 311 NA NA NA
1465938000.0 10024.2 NA 103 236 0 NA NA NA NA 199 321 0 NA NA NA NA 585 2087 626 NA NA NA NA 686 2226 640 NA NA NA
1465938000.0 10024.3 NA 103 142 0 NA NA NA NA 199 217 0 NA NA NA NA 601 505 302 NA NA NA NA 667 540 307 NA NA NA
1465938000.0 10024.4 NA 103 235 0 NA NA NA NA 199 320 0 NA NA NA NA 612 1939 632 NA NA NA NA 684 2084 653 NA NA NA
1465938000.0 10024.5 NA 103 139 0 NA NA NA NA 199 217 0 NA NA NA NA 630 601 421 NA NA NA NA 715 660 437 NA NA NA
1465938000.0 10025.0 NA 99 233 0 NA NA NA NA 199 321 0 NA NA NA NA 583 1379 546 NA NA NA NA 662 1491 583 NA NA NA
1465938000.0 10026.0 NA 106 247 0 NA NA NA NA 199 321 0 NA NA NA NA 649 1206 387 NA NA NA NA 720 1257 393 NA NA NA
1465938000.0 1003.0 NA 177 0 NA NA NA NA NA 246 0 NA NA NA NA NA 4353 450 NA NA NA NA NA 4608 477 NA NA NA NA
1465938000.0 1004.0 NA 177 131 0 0 0 0 NA 240 180 0 0 0 0 NA 697 303 7 72 599 567 NA 736 330 13 77 609 575
1465938000.0 101.0 81 NA NA NA NA NA NA 142 NA NA NA NA NA NA 1307 NA NA NA NA NA NA 1381 NA NA NA NA NA NA
1465938000.0 102.0 83 NA NA NA NA NA NA 141 NA NA NA NA NA NA 838 NA NA NA NA NA NA 984 NA NA NA NA NA NA
1465938000.0 10224.0 NA 136 301 0 NA NA NA NA 200 398 0 NA NA NA NA 2794 3973 390 NA NA NA NA 7541 8033 404 NA NA NA
1465938000.0 10225.0 NA 139 312 0 NA NA NA NA 210 396 0 NA NA NA NA 2837 3338 345 NA NA NA NA 11447 12185 354 NA NA NA
1465938000.0 103.0 36 0 0 NA NA NA NA 77 0 0 NA NA NA NA 419 96 173 NA NA NA NA 457 128 199 NA NA NA NA
1465938000.0 105.0 51 78 24 NA NA NA NA 97 149 54 NA NA NA NA 3696 329 2 NA NA NA NA 3735 339 5 NA NA NA NA
1465938000.0 106.0 38 0 0 NA NA NA NA 77 0 0 NA NA NA NA 375 101 163 NA NA NA NA 584 136 200 NA NA NA NA
1465938000.0 107.0 54 77 194 NA NA NA NA 99 149 255 NA NA NA NA 6452 801 779 NA NA NA NA 7159 870 906 NA NA NA NA
1465938000.0 108.0 54 80 194 NA NA NA NA 101 149 255 NA NA NA NA 10408 806 967 NA NA NA NA 10906 861 1003 NA NA NA NA
1465938000.0 10821.0 93 NA NA NA NA NA NA 139 NA NA NA NA NA NA 4422 NA NA NA NA NA NA 4507 NA NA NA NA NA NA
1465938000.0 10824.0 107 NA NA NA NA NA NA 152 NA NA NA NA NA NA 19405 NA NA NA NA NA NA 19681 NA NA NA NA NA NA
1465938000.0 10825.0 105 NA NA NA NA NA NA 150 NA NA NA NA NA NA 18436 NA NA NA NA NA NA 19317 NA NA NA NA NA NA
