Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1464944400.0 1.0 52 75 128 NA NA NA NA 97 146 187 NA NA NA NA 2649 351 1230 NA NA NA NA 2820 383 1393 NA NA NA NA
1464944400.0 1002.0 NA 211 60 NA NA NA NA NA 282 100 NA NA NA NA NA 2552 170 NA NA NA NA NA 2990 243 NA NA NA NA
1464944400.0 10023.0 NA 99 221 0 NA NA NA NA 197 316 0 NA NA NA NA 604 984 582 NA NA NA NA 673 1184 637 NA NA NA
1464944400.0 10024.1 NA 103 146 0 NA NA NA NA 199 222 0 NA NA NA NA 659 659 240 NA NA NA NA 993 712 250 NA NA NA
1464944400.0 10024.2 NA 103 231 0 NA NA NA NA 199 316 0 NA NA NA NA 637 1370 441 NA NA NA NA 919 1479 474 NA NA NA
1464944400.0 10024.3 NA 104 144 0 NA NA NA NA 199 217 0 NA NA NA NA 661 489 207 NA NA NA NA 815 796 213 NA NA NA
1464944400.0 10024.4 NA 103 230 0 NA NA NA NA 199 315 0 NA NA NA NA 641 1337 471 NA NA NA NA 1029 1472 594 NA NA NA
1464944400.0 10024.5 NA 103 141 0 NA NA NA NA 199 217 0 NA NA NA NA 654 481 197 NA NA NA NA 830 774 206 NA NA NA
1464944400.0 10025.0 NA 100 228 0 NA NA NA NA 199 316 0 NA NA NA NA 598 1376 507 NA NA NA NA 794 1775 597 NA NA NA
1464944400.0 1003.0 NA 176 0 NA NA NA NA NA 250 0 NA NA NA NA NA 3158 299 NA NA NA NA NA 3529 389 NA NA NA NA
1464944400.0 1004.0 NA 176 131 0 0 0 0 NA 240 180 0 0 0 0 NA 526 178 5 54 384 318 NA 643 212 10 59 397 325
1464944400.0 101.0 81 NA NA NA NA NA NA 142 NA NA NA NA NA NA 1179 NA NA NA NA NA NA 1257 NA NA NA NA NA NA
