Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1466078400.0 1.0 52 68 120 NA NA NA NA NA 97 143 174 NA NA NA NA NA 2212 351 350 NA NA NA NA NA 2299 389 377 NA NA NA NA NA
1466078400.0 10.0 NA 76 186 0 NA NA NA NA NA 147 245 0 NA NA NA NA NA 4100 4085 973 NA NA NA NA NA 4324 4185 990 NA NA NA NA
1466078400.0 1000.0 NA 200 108 0 44 NA NA NA NA 266 160 0 76 NA NA NA NA 4269 1171 685 419 NA NA NA NA 4391 1217 698 462 NA NA NA
1466078400.0 1001.0 NA 180 163 0 0 0 0 0 NA 235 205 0 0 0 0 0 NA 3711 1529 12 157 994 281 1112 NA 3886 1570 15 163 999 295 1123
1466078400.0 1002.0 NA 198 58 NA NA NA NA NA NA 267 97 NA NA NA NA NA NA 2683 195 NA NA NA NA NA NA 3121 241 NA NA NA NA NA
1466078400.0 10021.0 NA 85 126 0 NA NA NA NA NA 171 175 0 NA NA NA NA NA 651 789 281 NA NA NA NA NA 722 867 295 NA NA NA NA
1466078400.0 10023.0 NA 87 127 0 NA NA NA NA NA 171 176 0 NA NA NA NA NA 626 527 316 NA NA NA NA NA 712 595 330 NA NA NA NA
1466078400.0 10024.0 NA 91 130 0 NA NA NA NA NA 171 180 0 NA NA NA NA NA 698 711 330 NA NA NA NA NA 784 775 340 NA NA NA NA
1466078400.0 10025.0 NA 88 127 0 NA NA NA NA NA 171 175 0 NA NA NA NA NA 614 532 283 NA NA NA NA NA 667 585 293 NA NA NA NA
1466078400.0 10026.0 NA 90 129 0 NA NA NA NA NA 171 181 0 NA NA NA NA NA 736 851 334 NA NA NA NA NA 1048 932 353 NA NA NA NA
1466078400.0 1003.0 NA 167 0 NA NA NA NA NA NA 231 0 NA NA NA NA NA NA 3711 377 NA NA NA NA NA NA 3834 389 NA NA NA NA NA
1466078400.0 1004.0 NA 169 125 0 0 0 0 NA NA 233 166 0 0 0 0 NA NA 666 222 7 63 493 507 NA NA 745 271 11 69 498 512 NA
1466078400.0 101.0 77 NA NA NA NA NA NA NA 136 NA NA NA NA NA NA NA 1309 NA NA NA NA NA NA NA 1364 NA NA NA NA NA NA NA
1466078400.0 102.0 78 NA NA NA NA NA NA NA 135 NA NA NA NA NA NA NA 998 NA NA NA NA NA NA NA 1022 NA NA NA NA NA NA NA
1466078400.0 10224.0 NA 118 175 0 NA NA NA NA NA 185 264 0 NA NA NA NA NA 3153 3174 390 NA NA NA NA NA 12473 12788 408 NA NA NA NA
1466078400.0 10225.0 NA 130 182 0 NA NA NA NA NA 186 262 0 NA NA NA NA NA 3481 2956 357 NA NA NA NA NA 13042 12181 371 NA NA NA NA
1466078400.0 103.0 48 82 181 NA NA NA NA NA 93 145 244 NA NA NA NA NA 946 277 450 NA NA NA NA NA 979 298 480 NA NA NA NA NA
1466078400.0 105.0 51 76 23 NA NA NA NA NA 97 145 53 NA NA NA NA NA 2397 424 4 NA NA NA NA NA 2511 446 10 NA NA NA NA NA
1466078400.0 106.0 37 0 0 NA NA NA NA NA 76 0 0 NA NA NA NA NA 481 95 208 NA NA NA NA NA 538 128 229 NA NA NA NA NA
1466078400.0 107.0 54 73 191 NA NA NA NA NA 98 145 244 NA NA NA NA NA 6430 701 1006 NA NA NA NA NA 6537 798 1235 NA NA NA NA NA
1466078400.0 108.0 54 75 189 NA NA NA NA NA 100 145 244 NA NA NA NA NA 5973 391 628 NA NA NA NA NA 6336 448 648 NA NA NA NA NA
1466078400.0 109.0 56 77 188 NA NA NA NA NA 100 145 244 NA NA NA NA NA 6744 449 683 NA NA NA NA NA 6928 486 718 NA NA NA NA NA
1466078400.0 11.0 NA 75 193 0 53 NA NA NA NA 147 255 0 88 NA NA NA NA 1889 1002 655 43 NA NA NA NA 1950 1038 668 56 NA NA NA
1466078400.0 110.0 45 71 183 NA NA NA NA NA 84 145 244 NA NA NA NA NA 778 455 483 NA NA NA NA NA 825 475 519 NA NA NA NA NA
