Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1466287200.0 1.0 52 74 130 NA NA NA NA NA 98 147 184 NA NA NA NA NA 4049 400 1219 NA NA NA NA NA 4110 410 1231 NA NA NA NA NA
1466287200.0 1000.0 NA 214 133 0 39 NA NA NA NA 284 183 0 78 NA NA NA NA 4551 836 1063 199 NA NA NA NA 4821 1109 1088 230 NA NA NA
1466287200.0 1001.0 NA 185 170 0 0 0 0 0 NA 245 218 0 0 0 0 0 NA 3410 843 10 93 1155 74 1062 NA 3457 869 13 96 1212 132 1087
1466287200.0 1002.0 NA 212 69 NA NA NA NA NA NA 280 101 NA NA NA NA NA NA 2855 128 NA NA NA NA NA NA 2915 138 NA NA NA NA NA
1466287200.0 10021.0 NA 100 235 0 NA NA NA NA NA 177 322 0 NA NA NA NA NA 747 2709 793 NA NA NA NA NA 815 2835 832 NA NA NA NA
1466287200.0 10023.0 NA 99 231 0 NA NA NA NA NA 177 322 0 NA NA NA NA NA 678 1241 479 NA NA NA NA NA 765 1289 488 NA NA NA NA
1466287200.0 10024.0 NA 104 244 0 NA NA NA NA NA 178 323 0 NA NA NA NA NA 798 2413 575 NA NA NA NA NA 874 2527 583 NA NA NA NA
1466287200.0 10024.1 NA 104 148 0 NA NA NA NA NA 178 222 0 NA NA NA NA NA 464 436 233 NA NA NA NA NA 668 653 245 NA NA NA NA
1466287200.0 10024.2 NA 104 240 0 NA NA NA NA NA 178 322 0 NA NA NA NA NA 797 2264 656 NA NA NA NA NA 890 2357 670 NA NA NA NA
1466287200.0 10024.3 NA 104 141 0 NA NA NA NA NA 178 217 0 NA NA NA NA NA 491 556 300 NA NA NA NA NA 752 1186 374 NA NA NA NA
